Text,Target,Stance,Sentiment,Sarcasm
,Covid Vaccine,Against,Negative,No
 @MMbinRashid @m_almaadeed @MaithaBuhumaid لاشك أن دولة الإمارات نموذج إداري ناجح وملهم على مستوى المنطقة  لكن كثر الحديث في بلداننا الفترة الأخيرة عن تمكين المرأة وأتمنى أن يكون التمكين للأجدر وليس للمرأة لمجرد إنها مرأة,Women empowerment,None,Positive,No
 🤔طيب انتهينا من كورونا وطلع لنا هالمتحورات وقالو لنا التطعيمات ماتمنع الاصابة بالمتحور وش الفايدة ممكن تخبروني! بيطعموكم ثالثة وعاشره على كل متحور تطعيم وعادي!,Covid Vaccine,Against,Negative,No
 MENTION كل دول العالم اخذته وليش تاخذون التطعيمات اللي من ينولد الطفل وله جدول للتطعيمات وتمشون عليه واللي مصنع هالتطعيمات دول اجنبيه ليش بس تطعيم كورونا هوا اللي يخوف وغيره لا ؟؟مجرد بلبله لااكثر خذه وتوكل على الله مو صايبك شي 👍🏻,Covid Vaccine,Favor,Positive,No
 أهم شي تمكين المرأة   ودفعها إلى سوق العمل   الخصوبة والأسرة وقيم المجتمع آخر شي نفكر فيه,Women empowerment,Against,Negative,No
 أولا كورونا مش كذبه ثانيا العالم قد قطع مشوار كبير جدا في محاربة هذا الوباء وبدأت الدول الكبرى في تخفيف الإجراءات بعد تعديها المستوى المطلوب من تطعيم المواطنين لديها,Covid Vaccine,Favor,Positive,No
 اعرف واحد اخذ المصل بعدها ب 18 يوم جاتله كورونا..يا جدعان عايزين يقللوا عدد سكان الارض والكلام ده قايلينه من 2015,Covid Vaccine,Against,Negative,No
 الارتقاء بمجتمعنا يأتي من خلال الارتقاء بدور المرأة ومكانتها و تمكين خياراتها و حريتها,Women empowerment,Favor,Positive,No
 التطعيم يكون اجباري لو الوباء يأثر على الدوله و اقتصادها. لقاح الانفلونزا السنوي غير اجباري لانه ما يأثر على الدوله. و للحين تطعيم كورونا مو اجباري. بس اتمنى يصير قريبا,Covid Vaccine,Favor,Positive,No
 الكثير الكثيرمن العالم في مشارق الارض ومغاربها لايريدون تطعيم كورونا نرفضه والله المنجي من مصائبهم قرأت رابط يقول انه سيظهر فيروس اخر اكثرفتقاً فتق الله في من يصنع الفيروسات وينشرها ليكسب المليارات في ادويةوهمية وتطعيم,Covid Vaccine,Against,Negative,No
 اللقاح مايقتل ابدا بالعكس ينقذ من الموت عارفه اللي جاتهم اعراض قويه يتحمدون الله لأن اللي يتعب من جزء معطل من الفايروس وهو الغشاء البروتيني للفايروس فقط كيف كان راح يصير فيه لو جاته كورونا من غير تطعيم,Covid Vaccine,Favor,Neutral,No
 الله يحفظهم يا رب  ويمدهم بالصحة والعافيه والعمر المديد  أخذهم تطعيم لقاح كورونا به فائده لصحتهم ومفيد لتقويه المناعة للجسم  حفظكم الله وأبعد عنكم شر الوباء,Covid Vaccine,Favor,Positive,No
 انت لا تحتاج الا تطعيم لكن هم يحتاجون لحقنك .. هذه اتفاقيات دولية لموضوع اهم .. لا كورونا ولا فايروس,Covid Vaccine,Against,Neutral,No
 اولا انا ما اخذتها برضاي كنت طفل  ثانيا تطعيمات الاطفال عينات ميتة  من الفايروس يعني اقل ضرر بكثير  تطعيم كورونا علاج جيني,Covid Vaccine,Against,Neutral,No
 بالنسبة الدجال بيل قيتس يرفض تطعيم أبنائه ونفسه وزوجته ويجيزة على الغير 🔴  شوف اضرار غاز الكيميتريل نفس أعراض وهم كورونا المفتعل🔴  ملف تسويقي وتجاري جديد لدر الربح من خلاله والغرض الأكبر (( تمرير اللقاحات )) ونجحوا URL,Covid Vaccine,Against,Negative,No
 بنت خالتي شابة صحتها ممتازة اخذت مع عائلتها اللقاح جاتها اعراض كورونا كاملة واشد من الناس اللي بدون تطعيم ..  ويتعذرون انها اخذته على الفايرس  طيب كل عائلتها تطعموا من وين جتها الاصابة لحالها!!,Covid Vaccine,Against,Negative,No
 ترا تطعيم كورونا حاله حال التطعيمات الي خذناها و احنا بزران وشو الي تدخل فيروس و تدمر مناعة ولدك و مدري وش,Covid Vaccine,None,Positive,Yes
 تمكين المرأة على حساب الرجل,Women empowerment,Against,Negative,No
 تمكين المرأة  يظنونه خيراً وهو شراً لهم.,Women empowerment,Against,Negative,No
  توجد ضبابية في موضوع لقاح كورونا   ألا وهي :  تطعيم الفايزر كاتوا يقولون بالبداية بأن المدة بين الجرعتين 21 يوم  وبعد ما انقطع اللقاح عالميا قالوا لا يضر حتى 6 أسابيع   والآن تم تأجيل الجرعة الثانية لأبعد من 6 أسابيع!!   ما أراه هو تخمين وليست دراسة ؟!,Covid Vaccine,Against,Neutral,No
 جاتني كورونا بدون تطعيم واعراضي اقل منك,Covid Vaccine,Against,Neutral,No
 دكتور طعمنا مليون تطعيم بس يوم ييه حق كورونا الكل صار فني وناقد سياسي ومحقق الكورارث الطبيعيه 😂طعمو فكونا,Covid Vaccine,Favor,Neutral,Yes
 شعار #تمكين_المرأة هو في الواقع تمكين منها لا لها والواقع خير شاهد #ماذا_بعد_قيادة_المرأة1 URL,Women empowerment,Against,Negative,No
 غالبا غالبا اي شخص ضد تمكين المرأة فاسد من داخله ينطبق عليه قول ( كلن يرى الناس بعين طبعه ),Women empowerment,Favor,Negative,No
 فيه كثير شباب متفوقين بس للاسف تم توظيف نساء بدالهم بحجة تمكين المرأة وانا شاهدة على ذا الشيء,Women empowerment,Against,Negative,No
 كبار السن الافضل لهم ياخذون الجرعه التنشيطيه لانها حمايه لهم بعد الله من المرض بس,Covid Vaccine,Favor,Neutral,No
 كل المرضى اللي ادخلتهم حاليا منهم صغار بالسن بالثلاثينات و حالتهم حرجه   وعند سؤالهم عن التطعيم كلهم اجابتهم واحده:  🛑 للاسف ما تطعمنا وتاخرنا🛑  ما زلنا نكرر تطعموا قبل فوات الاوان ☑️   #كوفيد_19 #تطعيم_كورونا,Covid Vaccine,Favor,Positive,No
 كل دعاوي تمكين المرأة  ستسفر لا محالة عن مجتمع هش  يكثر فيه المطلقات والمخلوعين وبالتالي جيل من الابناء يصعد وهم في صراع بين الاب والأم,Women empowerment,Against,Negative,No
 كلامك مش صحيح.   بغض النظر عن مصدر كورونا مصنع ام طبيعي    و لكن هناك تطعيم تم تجربته و فحصته منظمة الصحة العالمية و اقرته  كما ان جميع الدول اقرته و طالبت شعوبها بأخذه ليحموا المجتمعات و البشرية . على المواطنيين اتباع توجيهات المختصين .,Covid Vaccine,Favor,Positive,No
 كلها من اولها لاخرها لعبة شركات ادويه متوحشه هدفها استغلال رعب البشر والطمع. لا أستطيع أن افهم بيع لقاح أقصى مناعته 95% بينما نسبة التعافي في الشخص الطبيعي من كورونا تصل 98%. لذلك أنا مع تطعيم فقط الأشخاص الذين مناعتهم ضعيفه.,Covid Vaccine,Against,Negative,No
 لماذا الى الان لم نسمع بتطعيم اي لاعب كرة في الدوري الانجليزي او الاسباني.. لماذا لم يتم تطعيم اي رياضي مشهور؟ مع انه كثير نسمع اصابات كورونا في رياضة كرة القدم واليو اف سي.  لعل الجواب لان اللاعبين باهضي الثمن وصعب تعويضهم,Covid Vaccine,Against,Neutral,No
 ليس عصر تمكين المرأة . وإنما عصر تدمير الأسرة والمجتمع .ولكن غباء بعض النساء لايشعرن بذلك . بسبب نشوة الإنتصار الكاذب على الرجل .متى تعي المرأة المسلمة أن الهدف ليست هي وإنما مجتمعها كله ؟,Women empowerment,Against,Negative,No
 ليس للسيدة أدنى سلطان في الأرض شرع الله الذي يحاول الغرب تدميره ليسود الفحشاء و البغاء العالم كله علناً و لن يحدث بامر الله مهما حاولوا بزعمهم الفاشل تمكين المرأة في المجتمعات الأسلامية,Women empowerment,Against,Negative,No
 مع مرور الوقت تبين أن تطعيم كورونا فاشل فاشل جدا. اصنعوا تطعيما جديدا. أو علاجا فعالا. وكفاكم تسويقا وترويجاً لهذا التطعيم أبو جرعة رابعة وخامسة!!,Covid Vaccine,Against,Negative,No
 موضوع النقاش فيه محسوم  أنتم لا زلتم تزيفون الحقائق وتنشرون الأكاذيب الا المرأة في السعودية تعيش اعظم سنواتها منذ ان اصبح محمد بن سلمان ولي للعهد  أتاح لها كامل حقوقها وأزال عنها كافة العقبات ومكنها خير تمكين,Women empowerment,Favor,Positive,No
 هذا اللي استفدناه من تمكين المرأة,Women empowerment,Against,Neutral,No
