text,target,stance,Sentiment,Sarcasm
,Covid Vaccine,Against,Negative,No
 @MMbinRashid @m_almaadeed @MaithaBuhumaid ???? ?? ???? ???????? ????? ????? ???? ????? ??? ????? ???????  ??? ??? ?????? ?? ??????? ?????? ??????? ?? ????? ?????? ?????? ?? ???? ??????? ?????? ???? ?????? ????? ???? ????,Women empowerment,None,Positive,No
 ???? ??????? ?? ?????? ???? ??? ?????????? ????? ??? ????????? ?????? ??????? ???????? ?? ??????? ???? ???????! ???????? ????? ?????? ??? ?? ????? ????? ?????!,Covid Vaccine,Against,Negative,No
 MENTION ?? ??? ?????? ????? ???? ?????? ????????? ???? ?? ????? ????? ??? ???? ????????? ?????? ???? ????? ???? ?????????? ??? ?????? ??? ?? ????? ?????? ??? ???? ???? ????? ?? ?????? ????? ?????? ??? ????? ??? ???? ?? ????? ?? ??,Covid Vaccine,Favor,Positive,No
 ??? ?? ????? ??????   ?????? ??? ??? ?????   ??????? ??????? ???? ??????? ??? ?? ???? ???,Women empowerment,Against,Negative,No
 ???? ?????? ?? ???? ????? ?????? ?? ??? ????? ???? ??? ?? ?????? ??? ?????? ????? ????? ?????? ?? ????? ????????? ??? ?????? ??????? ??????? ?? ????? ????????? ?????,Covid Vaccine,Favor,Positive,No
 ???? ???? ??? ????? ????? ? 18 ??? ????? ??????..?? ????? ?????? ?????? ??? ???? ????? ??????? ?? ??????? ?? 2015,Covid Vaccine,Against,Negative,No
 ???????? ???????? ???? ?? ???? ???????? ???? ?????? ???????? ? ????? ???????? ? ??????,Women empowerment,Favor,Positive,No
 ??????? ???? ?????? ?? ?????? ???? ??? ?????? ? ????????. ???? ?????????? ?????? ??? ?????? ???? ?? ???? ??? ??????. ? ????? ????? ?????? ?? ??????. ?? ????? ???? ?????,Covid Vaccine,Favor,Positive,No
 ?????? ???????? ?????? ?? ????? ????? ???????? ???????? ????? ?????? ????? ????? ?????? ?? ??????? ???? ???? ???? ??? ????? ????? ??? ????????? ??? ???? ?? ?? ???? ????????? ??????? ????? ????????? ?? ?????????? ??????,Covid Vaccine,Against,Negative,No
 ?????? ?????? ???? ?????? ???? ?? ????? ????? ???? ????? ????? ???? ??????? ???? ??? ???? ???? ?? ??? ???? ?? ???????? ??? ?????? ????????? ???????? ??? ??? ??? ??? ???? ??? ?? ???? ?????? ?? ??? ?????,Covid Vaccine,Favor,Neutral,No
 ???? ?????? ?? ??  ?????? ?????? ???????? ?????? ??????  ????? ????? ???? ?????? ?? ????? ?????? ????? ?????? ??????? ?????  ????? ???? ????? ???? ?? ??????,Covid Vaccine,Favor,Positive,No
 ??? ?? ????? ??? ????? ??? ?? ??????? ????? .. ??? ???????? ????? ?????? ??? .. ?? ?????? ??? ??????,Covid Vaccine,Against,Neutral,No
 ???? ??? ?? ?????? ????? ??? ???  ????? ??????? ??????? ????? ????  ?? ???????? ???? ??? ??? ?????  ????? ?????? ???? ????,Covid Vaccine,Against,Neutral,No
 ??????? ?????? ??? ???? ???? ????? ?????? ????? ?????? ?????? ??? ????? ?  ??? ????? ??? ?????????? ??? ????? ??? ?????? ????????  ??? ?????? ?????? ???? ??? ????? ?? ????? ?????? ?????? (( ????? ???????? )) ?????? URL,Covid Vaccine,Against,Negative,No
 ??? ????? ???? ????? ?????? ???? ?? ??????? ?????? ????? ????? ?????? ????? ???? ?? ????? ???? ???? ????? ..  ???????? ???? ????? ??? ???????  ??? ?? ??????? ?????? ?? ??? ???? ??????? ??????!!,Covid Vaccine,Against,Negative,No
 ??? ????? ?????? ???? ??? ????????? ??? ?????? ? ???? ????? ??? ??? ???? ????? ? ???? ????? ???? ? ???? ??,Covid Vaccine,None,Positive,Yes
 ????? ?????? ??? ???? ?????,Women empowerment,Against,Negative,No
 ????? ??????  ?????? ????? ??? ???? ???.,Women empowerment,Against,Negative,No
  ???? ?????? ?? ????? ???? ??????   ??? ??? :  ????? ??????? ????? ?????? ???????? ??? ????? ??? ???????? 21 ???  ???? ?? ????? ?????? ?????? ????? ?? ??? ??? 6 ??????   ????? ?? ????? ?????? ??????? ????? ?? 6 ??????!!   ?? ???? ?? ????? ????? ????? ?!,Covid Vaccine,Against,Neutral,No
 ????? ?????? ???? ????? ??????? ??? ???,Covid Vaccine,Against,Neutral,No
 ????? ????? ????? ????? ?? ??? ??? ?? ?????? ???? ??? ??? ????? ????? ????? ???????? ???????? ????? ?????,Covid Vaccine,Favor,Neutral,Yes
 ???? #?????_?????? ?? ?? ?????? ????? ???? ?? ??? ??????? ??? ???? #????_???_?????_??????1 URL,Women empowerment,Against,Negative,No
 ????? ????? ?? ??? ?? ????? ?????? ???? ?? ????? ????? ???? ??? ( ??? ??? ????? ???? ???? ),Women empowerment,Favor,Negative,No
 ??? ???? ???? ??????? ?? ????? ?? ????? ???? ?????? ???? ????? ?????? ???? ????? ??? ?? ?????,Women empowerment,Against,Negative,No
 ???? ???? ?????? ??? ?????? ?????? ????????? ????? ????? ??? ??? ???? ?? ????? ??,Covid Vaccine,Favor,Neutral,No
 ?? ?????? ???? ??????? ????? ???? ???? ????? ??????????? ? ?????? ????   ???? ?????? ?? ??????? ???? ??????? ?????:  ? ????? ?? ?????? ????????  ?? ???? ???? ?????? ??? ???? ?????? ??   #?????_19 #?????_??????,Covid Vaccine,Favor,Positive,No
 ?? ????? ????? ??????  ????? ?? ????? ?? ????? ??  ???? ??? ???????? ?????????? ???????? ??? ?? ??????? ???? ??? ?? ???? ??? ???? ?????,Women empowerment,Against,Negative,No
 ????? ?? ????.   ??? ????? ?? ???? ?????? ???? ?? ?????    ? ??? ???? ????? ?? ?????? ? ????? ????? ????? ???????? ? ?????  ??? ?? ???? ????? ????? ? ????? ?????? ????? ?????? ????????? ? ??????? . ??? ?????????? ????? ??????? ???????? .,Covid Vaccine,Favor,Positive,No
 ???? ?? ????? ?????? ???? ????? ????? ?????? ????? ??????? ??? ????? ??????. ?? ?????? ?? ???? ??? ???? ???? ?????? 95% ????? ???? ??????? ?? ????? ??????? ?? ?????? ??? 98%. ???? ??? ?? ????? ??? ??????? ????? ??????? ?????.,Covid Vaccine,Against,Negative,No
 ????? ??? ???? ?? ???? ?????? ?? ???? ??? ?? ?????? ????????? ?? ????????.. ????? ?? ??? ????? ?? ????? ?????? ?? ??? ???? ???? ?????? ?????? ?? ????? ??? ????? ????? ?? ??.  ??? ?????? ??? ???????? ????? ????? ???? ???????,Covid Vaccine,Against,Neutral,No
 ??? ??? ????? ?????? . ????? ??? ????? ?????? ???????? .???? ???? ??? ?????? ??????? ???? . ???? ???? ???????? ?????? ??? ????? .??? ??? ?????? ??????? ?? ????? ???? ?? ????? ??????? ??? ?,Women empowerment,Against,Negative,No
 ??? ?????? ???? ????? ?? ????? ??? ???? ???? ????? ????? ?????? ????? ??????? ? ?????? ?????? ??? ????? ? ?? ???? ???? ???? ???? ?????? ?????? ?????? ????? ?????? ?? ????????? ?????????,Women empowerment,Against,Negative,No
 ?? ???? ????? ???? ?? ????? ?????? ???? ???? ???. ?????? ?????? ?????. ?? ????? ?????. ?????? ?????? ???????? ???? ??????? ??? ???? ????? ??????!!,Covid Vaccine,Against,Negative,No
 ????? ?????? ??? ?????  ???? ?? ???? ?????? ??????? ??????? ???????? ??? ?????? ?? ???????? ???? ???? ??????? ??? ?? ???? ???? ?? ????? ??? ?????  ???? ??? ???? ?????? ????? ???? ???? ??????? ?????? ??? ?????,Women empowerment,Favor,Positive,No
 ??? ???? ???????? ?? ????? ??????,Women empowerment,Against,Neutral,No
 ?? ??????? ?????(?????) ??? ?????? ?????? ????? ????? ?? ??? ??????? ????? ???? ?????? ??? ?????? ????!!! . ??? ??? ??????? ??????? ?? ???? ??? ?????? ????? ?????? ???? ????? ?????? ????? ??? ???????? ?????? ?????? ???? ??? ???? ?? ????? ?? ??? ?????? ????,Women empowerment,Against,Negative,No
1? ?????? ???? ???? ??? ????? ?? ??????? ??????????? .?? ?? ??? ???? ????? ???? ?????? ?????????? ????? ???? ?? ???? ????? ??? ?? ????? ??? ??????,Digital Transformation,Favor,Negative,No
2?? ????? ???? ?????? ???????? ???? #?????? ???? ?????: ??% ??? ? ?????? ?? ????? ?????.  ??% ??? ? ?????? ?? ????? ??????????.  ? ????? ???.,Covid Vaccine,Favor,Positive,No
3   ????? ?????? ????? ??????? ?????? ?? ???? ????? ?????? ????????? . • ??? ??????? ?????? ?????? ?????? ??????? ?? ? ???? ???????  • ????? ????? ??????? ?????? ??? ???? ????? ?? ?????? ??? ??????? ?? ???? ?????,Women empowerment,Favor,Positive,No
3?? ??? ???   ???? ????? ?? ?? ??? ?????? ???? ????? ????? ???? ?? ????? ????????? ?? ?????? ???? ?????? ?????? ?? ???? ?????? ??? ????????? ?????? ???? ??? ??? ??????   ??? ??????? ?????? ??????? ??????????? ???? ????? ?? ?? ????? ????? ??????? ??? ??? ??? ??? ?????.,Digital Transformation,Against,Negative,No
